variable_location,data_product,data_table,provided_variable,variable, note
column_name,Crowther,Summary,% clay,clay,NA
column_name,Crowther,Summary,Author Updated % clay,clay,NA
column_name,Crowther,Summary,CEC (cmol/kg),cation_exchange_capacity,NA
column_name,Crowther,Study Names,Old Name,site_name,NA
column_name,Crowther,Study Names,New Name,detailed_site_name,NA
column_name,Crowther,Raw,Study,site_name,NA
column_name,Crowther,Raw,Author,author,NA
column_name,Crowther,Raw,Biome,biome,NA
column_name,Crowther,Raw,Ecosystem,vegetation_species,NA
column_name,Crowther,Raw,LAT,latitude,NA
column_name,Crowther,Raw,LONG,longitude,NA
column_name,Crowther,Raw,"Treatment (W=warming, C=control)",treatment_type,NA
column_name,Crowther,Raw,Planned Warming,planned_warming_temperature,NA
column_name,Crowther,Raw,Mean delta T,mean_temperature_change,NA
column_name,Crowther,Raw,Lengths of Study,study_duration,NA
column_name,Crowther,Raw,%C,carbon_organic,NA
column_name,Crowther,Raw,Bulk density,bulk_density,NA
column_name,Crowther,Raw,Bulk Density Avg.,bulk_density,NA
column_name,Crowther,Raw,total C,total_carbon,NA
column_name,Crowther,Raw,total raw C,total_raw_carbon,NA
column_name,Crowther,Raw,%N,nitrogen,NA
column_name,vanGestel2017,sites,site.id,site_name,NA
column_name,vanGestel2017,sites,state.country,state_country,NA
column_name,vanGestel2017,sites,site,site,NA
column_name,vanGestel2017,sites,project,project,NA
column_name,vanGestel2017,sites,lat,latitude,NA
column_name,vanGestel2017,sites,lon,longitude,NA
column_name,vanGestel2017,sites,elevation,elevation,NA
column_name,vanGestel2017,sites,mat,mean_annual_temperature,NA
column_name,vanGestel2017,sites,map,mean_annual_precipitation,NA
column_name,vanGestel2017,sites,treatments,treatment_type,NA
column_name,vanGestel2017,sites,technique,technique,NA
column_name,vanGestel2017,sites,season,season,NA
column_name,vanGestel2017,sites,biome,biome,NA
column_name,vanGestel2017,sites,sub.biome,sub_biome,NA
column_name,vanGestel2017,sites,species,vegetation_species,NA
column_name,vanGestel2017,sites,soil.type,soil_type,NA
column_name,vanGestel2017,sites,soil.texture.class,soil_texture_class,NA
column_name,vanGestel2017,sites,perc.sand,sand,NA
column_name,vanGestel2017,sites,perc.silt,silt,NA
column_name,vanGestel2017,sites,perc.clay,clay,NA
column_name,vanGestel2017,sites,start.date,treatment_duration_start,NA
column_name,vanGestel2017,sites,C.pool.abg,carbon_pool_above_ground,NA
column_name,vanGestel2017,sites,C.pool.bwg,carbon_pool_below_ground,NA
column_name,vanGestel2017,sites,N.pool.abg,nitrogen_pool_above_ground,NA
column_name,vanGestel2017,sites,N.pool.bwg,nitrogen_pool_below_ground,NA
column_name,vanGestel2017,sites,P.pool.bwg,phosphorus_pool_above_ground,NA
column_name,vanGestel2017,sites,soil.depth.pool,depth,NA
column_name,vanGestel2017,sites,Ndep.rate,nitrogen_deposition_rate,NA
column_name,vanGestel2017,sites,bulk.density,bulk_density,NA
column_name,vanGestel2017,sites,pH,pH,NA
column_name,vanGestel2017,sites,percent.om,organic_matter,NA
column_name,vanGestel2017,sites,source,source,NA
column_name,vanGestel2017,sites,notes,notes,NA
column_name,vanGestel2017,sites,Reference,reference,NA
column_name,vanGestel2017,soc,site.id,site_name,NA
column_name,vanGestel2017,soc,trt,treatment_type,NA
column_name,vanGestel2017,soc,technique,technique,NA
column_name,vanGestel2017,soc,season,season,NA
column_name,vanGestel2017,soc,trt.size.bg,treatment_size_below_ground,NA
column_name,vanGestel2017,soc,soilT.depth,depth_soil_temperature,NA
column_name,vanGestel2017,soc,trt.size.abg,treatment_size_above_ground,NA
column_name,vanGestel2017,soc,trt.size.units,treatment_size_units,NA
column_name,vanGestel2017,soc,start.date,treatment_duration_start,NA
column_name,vanGestel2017,soc,measurement.date,measurement_date,NA
column_name,vanGestel2017,soc,duration,treatment_duration,NA
column_name,vanGestel2017,soc,remove,remove,NA
column_name,vanGestel2017,soc,multi.year,multiyear,NA
column_name,vanGestel2017,soc,control.mean,control_mean,NA
column_name,vanGestel2017,soc,control.se,control_standard_error,NA
column_name,vanGestel2017,soc,control.n,control_size,NA
column_name,vanGestel2017,soc,trt.mean,treatment_mean,NA
column_name,vanGestel2017,soc,trt.se,treatment_standard_error,NA
column_name,vanGestel2017,soc,trt.n,treatment_size,NA
column_name,vanGestel2017,soc,unit,unit,NA
